2026-03-18T13:12:37.068682 00123456780210404572129740022600009 -> {'device_id': 12345678, 'temperature': 21.04, 'humidity': 45.72, 'distance': 129.74, 'mq4': 226, 'mq136': 9, 'timestamp': '2026-03-18T13:12:37.068302'}
2026-03-18T13:12:38.070549 00123456780210704560126900022600009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.6, 'distance': 126.9, 'mq4': 226, 'mq136': 9, 'timestamp': '2026-03-18T13:12:38.070113'}
2026-03-18T13:12:39.072691 00123456780210504561131730022700009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.61, 'distance': 131.73, 'mq4': 227, 'mq136': 9, 'timestamp': '2026-03-18T13:12:39.072310'}
2026-03-18T13:12:40.074743 00123456780210604570131610022700009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.7, 'distance': 131.61, 'mq4': 227, 'mq136': 9, 'timestamp': '2026-03-18T13:12:40.074378'}
2026-03-18T13:12:41.076154 00123456780210504561130670022700009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.61, 'distance': 130.67, 'mq4': 227, 'mq136': 9, 'timestamp': '2026-03-18T13:12:41.075745'}
2026-03-18T13:12:42.077933 00123456780210604574130220022800009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.74, 'distance': 130.22, 'mq4': 228, 'mq136': 9, 'timestamp': '2026-03-18T13:12:42.077480'}
2026-03-18T13:12:43.079538 00123456780210704567127020023000009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.67, 'distance': 127.02, 'mq4': 230, 'mq136': 9, 'timestamp': '2026-03-18T13:12:43.079167'}
2026-03-18T13:12:45.093190 00123456780210604574131730023100009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.74, 'distance': 131.73, 'mq4': 231, 'mq136': 9, 'timestamp': '2026-03-18T13:12:45.092812'}
2026-03-18T13:12:46.095256 00123456780210504571130810023100009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.71, 'distance': 130.81, 'mq4': 231, 'mq136': 9, 'timestamp': '2026-03-18T13:12:46.094864'}
2026-03-18T13:12:47.097572 00123456780210604569129710023100009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.69, 'distance': 129.71, 'mq4': 231, 'mq136': 9, 'timestamp': '2026-03-18T13:12:47.097181'}
2026-03-18T13:12:48.100169 00123456780210604574238210023200009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.74, 'distance': 238.21, 'mq4': 232, 'mq136': 9, 'timestamp': '2026-03-18T13:12:48.099579'}
2026-03-18T13:12:49.102560 00123456780210504564121850022800009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.64, 'distance': 121.85, 'mq4': 228, 'mq136': 9, 'timestamp': '2026-03-18T13:12:49.101990'}
2026-03-18T13:12:50.104490 00123456780210504561133450022800009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.61, 'distance': 133.45, 'mq4': 228, 'mq136': 9, 'timestamp': '2026-03-18T13:12:50.103770'}
2026-03-18T13:12:51.106184 00123456780210704575249430023200009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.75, 'distance': 249.43, 'mq4': 232, 'mq136': 9, 'timestamp': '2026-03-18T13:12:51.105551'}
2026-03-18T13:12:53.120062 00123456780210804564137680023100009 -> {'device_id': 12345678, 'temperature': 21.08, 'humidity': 45.64, 'distance': 137.68, 'mq4': 231, 'mq136': 9, 'timestamp': '2026-03-18T13:12:53.119491'}
2026-03-18T13:12:54.122179 00123456780210704567242980022900009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.67, 'distance': 242.98, 'mq4': 229, 'mq136': 9, 'timestamp': '2026-03-18T13:12:54.121773'}
2026-03-18T13:12:55.123851 00123456780210904565134210023100009 -> {'device_id': 12345678, 'temperature': 21.09, 'humidity': 45.65, 'distance': 134.21, 'mq4': 231, 'mq136': 9, 'timestamp': '2026-03-18T13:12:55.123449'}
2026-03-18T13:12:56.125391 00123456780211004569248460022900009 -> {'device_id': 12345678, 'temperature': 21.1, 'humidity': 45.69, 'distance': 248.46, 'mq4': 229, 'mq136': 9, 'timestamp': '2026-03-18T13:12:56.125032'}
2026-03-18T13:12:57.126868 00123456780210804570144720023000009 -> {'device_id': 12345678, 'temperature': 21.08, 'humidity': 45.7, 'distance': 144.72, 'mq4': 230, 'mq136': 9, 'timestamp': '2026-03-18T13:12:57.126495'}
2026-03-18T13:12:58.127999 00123456780210904580241830023000009 -> {'device_id': 12345678, 'temperature': 21.09, 'humidity': 45.8, 'distance': 241.83, 'mq4': 230, 'mq136': 9, 'timestamp': '2026-03-18T13:12:58.127652'}
2026-03-18T13:12:59.129783 00123456780210604575145020023500009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.75, 'distance': 145.02, 'mq4': 235, 'mq136': 9, 'timestamp': '2026-03-18T13:12:59.128915'}
2026-03-18T13:13:01.144287 00123456780210704577248800023100009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.77, 'distance': 248.8, 'mq4': 231, 'mq136': 9, 'timestamp': '2026-03-18T13:13:01.143678'}
2026-03-18T13:13:02.146568 00123456780210904563149240023300009 -> {'device_id': 12345678, 'temperature': 21.09, 'humidity': 45.63, 'distance': 149.24, 'mq4': 233, 'mq136': 9, 'timestamp': '2026-03-18T13:13:02.145994'}
2026-03-18T13:13:03.148783 00123456780210904565232580023100009 -> {'device_id': 12345678, 'temperature': 21.09, 'humidity': 45.65, 'distance': 232.58, 'mq4': 231, 'mq136': 9, 'timestamp': '2026-03-18T13:13:03.148211'}
2026-03-18T13:13:04.151437 00123456780210904563123590022600009 -> {'device_id': 12345678, 'temperature': 21.09, 'humidity': 45.63, 'distance': 123.59, 'mq4': 226, 'mq136': 9, 'timestamp': '2026-03-18T13:13:04.150882'}
2026-03-18T13:13:05.153679 00123456780210704569132820022600009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.69, 'distance': 132.82, 'mq4': 226, 'mq136': 9, 'timestamp': '2026-03-18T13:13:05.153314'}
2026-03-18T13:13:06.154819 00123456780210604574127600022600009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.74, 'distance': 127.6, 'mq4': 226, 'mq136': 9, 'timestamp': '2026-03-18T13:13:06.154437'}
2026-03-18T13:13:07.155846 00123456780210604574133000022800009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.74, 'distance': 133.0, 'mq4': 228, 'mq136': 9, 'timestamp': '2026-03-18T13:13:07.155459'}
2026-03-18T13:13:09.169453 00123456780210504568126370023000009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.68, 'distance': 126.37, 'mq4': 230, 'mq136': 9, 'timestamp': '2026-03-18T13:13:09.169064'}
2026-03-18T13:13:10.171534 00123456780210604575242490023200009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.75, 'distance': 242.49, 'mq4': 232, 'mq136': 9, 'timestamp': '2026-03-18T13:13:10.170990'}
